alpha_2,reason
VI,no subdivision rows found
AS,no subdivision rows found
AW,no subdivision rows found
AI,no subdivision rows found
IO,no subdivision rows found
VG,no subdivision rows found
AX,no subdivision rows found
GG,no subdivision rows found
MP,no subdivision rows found
CW,no subdivision rows found
GP,no subdivision rows found
GU,no subdivision rows found
CK,no subdivision rows found
CX,no subdivision rows found
CC,no subdivision rows found
KY,no subdivision rows found
GS,no subdivision rows found
MF,no subdivision rows found
BL,no subdivision rows found
SM,no subdivision rows found
PM,no subdivision rows found
GI,no subdivision rows found
JE,no subdivision rows found
SX,no subdivision rows found
SJ,no subdivision rows found
TC,no subdivision rows found
TK,no subdivision rows found
NU,no subdivision rows found
AQ,no subdivision rows found
NC,no subdivision rows found
EH,no subdivision rows found
VA,no subdivision rows found
NF,no subdivision rows found
HM,no subdivision rows found
BM,no subdivision rows found
PN,no subdivision rows found
BV,no subdivision rows found
PR,no subdivision rows found
FO,no subdivision rows found
FK,no subdivision rows found
GF,no subdivision rows found
TF,no subdivision rows found
PF,no subdivision rows found
MO,no subdivision rows found
HK,no subdivision rows found
MQ,no subdivision rows found
YT,no subdivision rows found
IM,no subdivision rows found
MS,no subdivision rows found
RE,no subdivision rows found
